178790406,Smashing Empress,5,303.400.000,1000
180333976,Pizdun1,5,288.400.000,2000
178662670,BINGO,5,376.700.000,3000
179678605,King Vlad,5,214.200.000,4000
177302586,R35,5,238.200.000,5000
178643370,Beejaydeking,5,292.700.000,6000
179694989,Ozz the tyrant2,5,275.900.000,7000
177581022,Kaylie11,5,219.700.000,8000
179249552,_Ty_,5,221.700.000,9000
176841287,Abby Cadabby,4,199.200.000,10000
176808443,ItzChunky,5,202.800.000,11000
177266830,Terra,4,181.800.000,12000
180235436,King Weagel 3,5,134.200.000,13000
179945391,Bara,5,117.300.000,14000
149090102,Strider,4,188.700.000,15000
178577515,Bilge Kagan,4,169.500.000,16000
177941745,PacO,4,156.300.000,17000
179790374,Sawbones,5,221.500.000,18000
179219407,Emoo,5,219.200.000,19000
178072567,Falconeri,4,195.300.000,20000
176336027,Elf,3,181.800.000,21000
177335716,Flumseberg,4,166.400.000,22000
180300670,siggi24,3,142.500.000,23000
176450326,ZAREK,4,152.300.000,24000
186838568,Court Jester,4,147.400.000,25000
176712677,Hildr Skjaldmær,4,210.500.000,26000
178940936,ARJUNA,4,176.600.000,27000
158548438,nana,4,171.900.000,28000
179170379,ThorMill,5,189.400.000,29000
178156238,BellatriX,3,154.900.000,30000
176369079,Stu,3,112.800.000,31000
177335486,TataLaur,3,151.500.000,32000
177646988,Hegema,3,142.300.000,33000
176693651,Jockel,4,197.500.000,34000
179072269,Korkusuz56,4,136.800.000,35000
178039769,Juggler,2,129.400.000,36000
178859276,DEMON INSULAIRE,4,26.100.000,37000
180333432,Debojit Kalita,2,95.100.000,38000
177267177,Hawkman,3,168.600.000,39000
177381390,Whisper,3,166.200.000,40000
179891254,EddieKing,1,101.900.000,41000
178875244,chan,2,13.200.000,42000
179497950,Rotta,4,134.900.000,43000
178023330,Aida you,4,198.300.000,44000
179973505,KC913,3,170.300.000,45000
178216789,viktor vj,4,131.700.000,46000
176450454,RJ78,4,141.500.000,47000
177712081,Ari26,3,144.900.000,48000
176758839,mmo71,3,190.100.000,49000
180564822,kh خالد بني ملحم,2,87.800.000,50000
177660055,M Kemal ATATÜRK,3,150.800.000,51000
179481693,Franz Ferdinand,3,137.600.000,52000
179694821,F3arhys92,3,122.800.000,53000
179986727,Sturmschatten,3,156.500.000,54000
178760790,Roramiaw,2,10.700.000,55000
177545105,Yuvanth,3,171.400.000,56000
176171896,Lord_LJ,3,169.700.000,57000
177859989,TH3 CAPTAIN,2,11.400.000,58000
177446985,Queen Garnet,2,104.600.000,59000
176286978,Ayyubid dynasty,2,105.300.000,60000
178741072,Josh NR,3,15.900.000,61000
179661892,Girmaqua,2,88.500.000,62000
177531952,SilverOx,2,16.600.000,63000
178594042,AKUJI,3,126.200.000,64000
179383211,Dark Titan,3,117.900.000,65000
195694585,Simps,3,122.500.000,66000
178298865,btrixxkiddo,2,114.400.000,67000
179039397,STORY,3,88.200.000,68000
176188152,AlboPalästin,1,89.600.000,69000
208531366,Kwa2,1,95.600.000,70000
177463319,fish,3,106.100.000,71000
179842255,agamitza,3,141.800.000,72000
178318653,Didifredy,3,182.400.000,73000
176254350,Galex2,3,106.900.000,74000
183949813,Szef,3,135.100.000,75000
178072783,Pebble,2,97.700.000,76000
178954421,Savaşçı Yörük,3,121.100.000,77000
197351614,#928Thomas,2,111.500.000,78000
178236266,Kenrog,4,165.500.000,79000
178875799,Seorendas,4,153.800.000,80000
176217885,Anireizo,3,148.800.000,81000
176892675,123456,30,84.100.000,82000
180169736,asdf,2,107.100.000,83000
187960979,Adds,2,102.200.000,84000
180087874,KingArthur,4,140.300.000,85000
178760935,Dulac76,3,128.800.000,86000
176548846,Franciscoooo,4,128.500.000,87000
177070202,Cake,2,110.600.000,88000
177286211,Graf Ignatz,2,108.600.000,89000
176450334,fredo,1,108.100.000,90000
177728838,Valadur,3,125.500.000,91000
177745062,Forky,2,91.900.000,92000
179875089,Bearr*,3,86.900.000,93000
177122513,BudA,2,92.000.000,94000
179661648,MaksR2,1,85.700.000,95000
178236544,High ROyalty,2,85.100.000,96000
179350377,Maxem,30,50.500.000,97000
